ID,DATE,TIME,VMAX,PER
AL021985,850721,18,25,0
AL021985,850722,0,25,0
AL021985,850722,6,30,5
AL021985,850722,12,30,5
AL021985,850722,18,35,5
AL021985,850723,0,35,5
AL021985,850723,6,40,5
AL021985,850723,12,40,5
AL021985,850723,18,40,0
AL021985,850724,0,40,0
AL021985,850724,6,50,0
AL021985,850724,12,60,20
AL021985,850724,18,65,15
AL021985,850725,0,65,5
AL021985,850725,6,55,0
AL021985,850725,12,45,0
AL021985,850725,18,30,0
AL021985,850726,0,25,0
AL031985,850809,18,25,0
AL031985,850810,0,25,0
AL031985,850810,6,25,0
AL031985,850810,12,30,5
AL031985,850810,18,30,5
AL031985,850811,0,35,5
AL031985,850811,6,35,5
AL031985,850811,12,35,0
AL031985,850811,18,40,5
AL031985,850812,0,40,5
AL031985,850812,6,45,5
AL031985,850812,12,45,5
AL031985,850812,18,50,5
AL031985,850813,0,50,5
AL031985,850813,6,55,5
AL031985,850813,12,55,5
AL031985,850813,18,60,5
AL031985,850814,0,60,5
AL031985,850814,6,65,5
AL031985,850814,12,65,5
AL031985,850814,18,65,0
AL031985,850815,0,70,5
AL031985,850815,6,70,5
AL031985,850815,12,75,5
AL031985,850815,18,75,5
AL031985,850816,0,60,-15
AL031985,850816,6,45,-30
AL031985,850816,12,40,-20
AL031985,850816,18,40,-5
AL041985,850812,0,25,0
AL041985,850812,6,25,0
AL041985,850812,12,25,0
AL041985,850812,18,25,0
AL041985,850813,0,25,0
AL041985,850813,6,25,0
AL041985,850813,12,30,5
AL041985,850813,18,30,5
AL041985,850814,0,35,5
AL041985,850814,6,45,15
AL041985,850814,12,50,15
AL041985,850814,18,60,15
AL041985,850815,0,70,20
AL041985,850815,6,75,15
AL041985,850815,12,80,10
AL041985,850815,18,70,0
AL041985,850816,0,50,0
AL041985,850816,6,40,0
AL041985,850816,12,30,0
AL041985,850816,18,30,0
AL041985,850817,0,30,0
AL041985,850817,6,30,0
AL041985,850817,12,30,0
AL041985,850817,18,30,0
AL041985,850818,0,25,0
AL041985,850818,6,25,0
AL041985,850818,12,25,0
AL041985,850818,18,25,0
AL051985,850828,0,30,0
AL051985,850828,6,30,0
AL051985,850828,12,30,0
AL051985,850828,18,45,0
AL051985,850829,0,50,20
AL051985,850829,6,55,10
AL051985,850829,12,65,15
AL051985,850829,18,70,15
AL051985,850830,0,75,10
AL051985,850830,6,80,10
AL051985,850830,12,90,15
AL051985,850830,18,90,10
AL051985,850831,0,90,0
AL051985,850831,6,90,0
AL051985,850831,12,90,0
AL051985,850831,18,90,0
AL051985,850901,0,95,5
AL051985,850901,6,100,10
AL051985,850901,12,105,10
AL051985,850901,18,110,10
AL051985,850902,0,110,5
AL051985,850902,6,105,-5
AL051985,850902,12,100,-10
AL051985,850902,18,60,0
AL051985,850903,0,45,0
AL051985,850903,6,30,0
AL051985,850903,12,25,0
AL051985,850903,18,25,0
AL051985,850904,0,20,0
AL051985,850904,6,20,0
AL051985,850904,12,20,0
AL051985,850904,18,20,0
AL081985,850915,18,25,0
AL081985,850916,0,25,0
AL081985,850916,6,30,5
AL081985,850916,12,30,5
AL081985,850916,18,40,10
AL081985,850917,0,45,15
AL081985,850917,6,50,10
AL081985,850917,12,55,10
AL081985,850917,18,55,5
AL081985,850918,0,55,0
AL081985,850918,6,55,0
AL081985,850918,12,55,0
AL081985,850918,18,55,0
AL081985,850919,0,55,0
AL081985,850919,6,55,0
AL081985,850919,12,55,0
AL091985,850916,12,25,0
AL091985,850916,18,25,0
AL091985,850917,0,30,5
AL091985,850917,6,30,5
AL091985,850917,12,35,5
AL091985,850917,18,35,5
AL091985,850918,0,35,0
AL091985,850918,6,35,0
AL091985,850918,12,35,0
AL091985,850918,18,30,-5
AL091985,850919,0,30,-5
AL091985,850919,6,30,0
AL091985,850919,12,30,0
AL091985,850919,18,30,0
AL091985,850920,0,35,5
AL091985,850920,6,40,10
AL091985,850920,12,45,10
AL091985,850920,18,45,5
AL091985,850921,0,50,5
AL091985,850921,6,55,10
AL091985,850921,12,60,10
AL091985,850921,18,65,10
AL091985,850922,0,65,5
AL091985,850922,6,70,5
AL091985,850922,12,70,5
AL091985,850922,18,65,-5
AL091985,850923,0,65,-5
AL091985,850923,6,65,0
AL091985,850923,12,65,0
AL091985,850923,18,75,10
AL091985,850924,0,95,30
AL091985,850924,6,100,25
AL091985,850924,12,100,5
AL091985,850924,18,105,5
AL091985,850925,0,120,20
AL091985,850925,6,125,20
AL091985,850925,12,115,-5
AL091985,850925,18,95,-30
AL091985,850926,0,85,-30
AL091985,850926,6,80,-15
AL091985,850926,12,80,-5
AL091985,850926,18,85,5
AL091985,850927,0,90,10
AL091985,850927,6,90,5
AL091985,850927,12,85,-5
AL091985,850927,18,75,0
AL101985,850921,18,25,0
AL101985,850922,0,25,0
AL101985,850922,6,25,0
AL101985,850922,12,25,0
AL101985,850922,18,30,5
AL101985,850923,0,30,5
AL101985,850923,6,35,5
AL101985,850923,12,50,20
AL101985,850923,18,45,10
AL101985,850924,0,40,-10
AL101985,850924,6,35,-10
